OBJECTID,PARK_NUMBER,PARK_NAME,SAP_EQUIPMENT,SAP_FUNCTIONAL_LOCATION,ITEM_TYPE,ITEM_DESCRIPTION,X,Y
689,D3121,TAYLOR PLACE PARK,200561840,B-RE-1198-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.119797754,-27.542420921
690,D0464,ALBERT BISHOP PARK,100291645,B-RE-1386-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.067213283,-27.404905535
691,D1689,WEBSTER ROAD PARK,200561137,B-RE-0444-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,153.019477305,-27.394582535
692,D0308,FRANCIS OUTLOOK PARK,200470497,B-RE-2016-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER - DISABLED ACCESS,152.976680355,-27.5367301909999
693,D1263,KURILPA POINT PARK,200569450,B-RE-2061-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,153.015195032,-27.469706862
694,D0192,WOOLCOCK PARK,200483664,B-RE-0020-N006,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,152.998945434,-27.448824207
695,D0276,SANDGATE FORESHORES PARK,100293825,B-RE-1875-N018,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.086695781,-27.32954874
696,D0616,RAVEN STREET RESERVE,200481521,B-RE-1667-N005,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,153.005055446,-27.389147188
697,D1042,BUNDARA PARK,200485901,B-RE-2607-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.939294308,-27.4181074759999
698,D0706,DASH STREET PARK,200485902,B-RE-1657-N007,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.95537473,-27.4096445129999
699,D0096,CITY BOTANIC GARDENS,200483904,B-RE-1735-N004,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.028748361,-27.4789028169999
700,D2993,MINGOOLA PARK,200549123,B-RE-0221-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.101551506,-27.458779799
701,D0087,BOWEN PARK,200470808,B-RE-1825-N004,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.029223776,-27.449102132
702,D0347,DAVIES PARK,100290234,B-RE-1907-N008,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.004556077,-27.4793796509999
703,D0706,DASH STREET PARK,100290290,B-RE-1657-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,152.955586638,-27.4091425409999
704,D0275,DECKER PARK,100308660,B-RE-1876-N007,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.064620691,-27.2861520869999
705,D0084,NEWSTEAD PARK,200486774,B-RE-1828-N011,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.045506988,-27.442613577
706,D1087,DELFIN STREET PARK,200471958,B-RE-2544-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & VANDAL PROOF TAP,153.068927306,-27.566774579
707,D1428,KARUMBA PLACE PARK,200487179,B-RE-2247-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.903224318,-27.559516303
708,D0101,CLARK LANE PARK,200482028,B-RE-1731-N001,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.03109565,-27.4635307799999
709,D0564,C.J.GREENFIELD COMPLEX PARK,100278588,B-RE-1628-N003,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,152.965885606,-27.579508071
710,D0728,SCURR PARK,200472290,B-RE-1586-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.089244208,-27.526401404
711,D0228,7TH BRIGADE PARK,200487017,B-RE-2004-N018,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.033562079,-27.378199556
712,D0409,ACACIA PARK,200476270,B-RE-1917-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.00830226,-27.498948867
713,D1036,BOORALA CRESCENT PARK,200480241,B-RE-2530-N003,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.096538882,-27.568237247
714,D0230,BRADBURY PARK,200547410,B-RE-2002-N009,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.027618058,-27.3934679399999
715,D0647,MT COOT-THA BOTANIC GARDEN,200478928,B-RE-1597-N009,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,152.974398112,-27.4778081659999
716,D0276,SANDGATE FORESHORES PARK,100308664,B-RE-1875-N007,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.069420316,-27.313895373
717,D2616,DOULTON STREET PARK,100265778,B-RE-0238-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP WITH BOWL,153.049289959,-27.637465176
718,D0463,KALINGA PARK,200488219,B-RE-1387-N017,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,153.051360806,-27.405989286
719,D0096,CITY BOTANIC GARDENS,200534110,B-RE-1735-N024,BUBBLER/DRINKING FOUNTAIN,BUBBLER & 2 TAPS,153.031234492,-27.474680845
720,D0276,SANDGATE FORESHORES PARK,200516063,B-RE-1875-N014,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.069348093,-27.31336915
721,D1768,DR VALENTINE McDOWALL PARK,200556014,B-RE-0567-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER,152.981300919,-27.3735124419999
722,D0738,ROBTRISH STREET PARK,100296127,B-RE-1576-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.166224859,-27.467572875
723,D0635,MCPHERSON PARK,200549036,B-RE-1609-N008,BUBBLER/DRINKING FOUNTAIN,900MM TROUGH WITH TWO BUBBLERS,153.042180796,-27.32195816
724,D2995,ARENGA STREET PARK,200549798,B-RE-0219-N002,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.152228578,-27.476500501
725,D0006,KITCHENER PARK,200550138,B-RE-1815-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.166745238,-27.444089859
726,D2112,BEDGOOD PARK,200556300,B-RE-0321-N002,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,153.005268927,-27.4625116679999
727,D1676,PALLARA PARK,100292106,B-RE-0386-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.01198774,-27.609407973
728,D0644,TIMBERLAND PARK,200470830,B-RE-1600-N006,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.034592425,-27.614155973
729,D0275,DECKER PARK,100308658,B-RE-1876-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.064631001,-27.2853343099999
730,D0374,LEYSHON PARK,200555139,B-RE-1468-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER,153.015161288,-27.5069529969999
731,D0517,BAYSIDE PARK,100308715,B-RE-1685-N002,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.186633198,-27.4531290699999
732,D0857,PARDALOTE PARK,100310742,B-RE-2412-N002,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP WITH DOG BOWL,153.040862905,-27.6072152949999
733,D0434,BROADWATER PICNIC GROUND PARK,200560565,B-RE-1499-N003,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.111288597,-27.5445532599999
734,D0895,BOGNOR STREET PARK,200561509,B-RE-2379-N003,BUBBLER/DRINKING FOUNTAIN,ATTACHED TO CLUBROOM,153.144763428,-27.466585403
735,D0159,GRINSTEAD PARK,200560444,B-RE-1739-N008,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER APOLLO 800,153.000827123,-27.4172502
736,D0355,DUTTON PARK,200560550,B-RE-1487-N004,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,153.024893523,-27.496029106
737,D0696,A.R.C.HILL PARK,200560420,B-RE-1545-N007,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,153.055928609,-27.385530532
738,D1158,MULBEAM PARK,200560438,B-RE-2069-N001,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,153.053179467,-27.3514510979999
739,D3118,MCKINLAY-DAVEY PARK,200552005,B-RE-1119-N002,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.10259531,-27.5751134179999
740,D0995,WYNNUM WADING POOL PARK,100308693,B-RE-2628-N001,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,153.177971861,-27.443081842
741,D2019,VOYAGER DRIVE PARK,100289788,B-RE-2699-N006,BUBBLER/DRINKING FOUNTAIN,BUBBLER & TAP,153.096921435,-27.6119899359999
742,D0097,RAYMOND PARK,100289968,B-RE-1734-N012,BUBBLER/DRINKING FOUNTAIN,BUBBLER DOG BOWL & TAP,153.040557763,-27.480556953
